sample_id,storage_day,freshness_state,position,collection_started_at,collection_ended_at,valid_frames,distance_mean_mm,ambient_clear_mean,lit_clear_mean,Clear_mean,F1_415nm_mean,F1_415nm_clear_norm,F2_445nm_mean,F2_445nm_clear_norm,F3_480nm_mean,F3_480nm_clear_norm,F4_515nm_mean,F4_515nm_clear_norm,F5_555nm_mean,F5_555nm_clear_norm,F6_590nm_mean,F6_590nm_clear_norm,F7_630nm_mean,F7_630nm_clear_norm,F8_680nm_mean,F8_680nm_clear_norm,NIR_mean,NIR_clear_norm
NECT01,6,warning,1,2026-07-24T20:28:31.431000,2026-07-24T20:28:42.450000,20,21.3,59.65,1588.8,1529.15,59.85,0.03913939116502632,155.0,0.10136350259948337,253.0,0.16545139456560834,412.35,0.2696596148186901,525.1,0.3433933884837982,729.35,0.47696432658666577,1023.95,0.6696203773338129,927.85,0.6067750057221332,117.95,0.07713435568780042
NECT01,6,warning,2,2026-07-24T20:29:04.470000,2026-07-24T20:29:17.130000,20,17.25,59.0,1373.95,1314.95,49.75,0.03783413818015894,119.05,0.09053576181603863,199.9,0.1520209893912316,345.05,0.2624054146545496,451.45,0.34332103882276893,620.2,0.471652914559489,869.65,0.6613559450929692,759.25,0.5773983801665462,107.75,0.08194227917411308
NECT01,6,warning,3,2026-07-24T20:29:38.028000,2026-07-24T20:29:55.668000,20,16.6,59.0,2763.6,2704.6,111.75,0.04131849441691932,287.8,0.10641129926791393,474.95,0.17560822302743473,766.6,0.2834430229978555,975.5,0.36068180137543443,1397.6,0.5167492420320935,1922.9,0.71097389632478,1671.3,0.6179472010648525,216.0,0.07986393551726688
NECT01,6,warning,4,2026-07-24T20:30:16.557000,2026-07-24T20:30:27.009000,20,17.9,64.1,1498.15,1434.05,48.0,0.033471636274885815,125.0,0.08716571946584847,203.0,0.14155712841253792,294.05,0.20504863847146196,383.75,0.2675987587601548,603.15,0.420592029566612,920.35,0.6417837592831491,801.65,0.5590111920783795,112.3,0.07830968236811826
NECT02,0,fresh,1,2026-07-18T13:23:01.379000,2026-07-18T13:23:18.557000,20,16.15,31.65,816.9,785.25,30.7,0.03909582935370901,60.0,0.07640878701050621,70.9,0.09028971665074818,78.0,0.09933142311365807,125.95,0.16039477873288763,338.95,0.4316459726201846,675.0,0.8595988538681948,646.45,0.8232410060490291,68.95,0.08780643107290673
NECT02,0,fresh,2,2026-07-18T14:57:56.328000,2026-07-18T14:58:07.558000,20,18.8,42.5,432.95,390.45,11.9,0.03047765398898707,22.0,0.05634524266871559,27.9,0.0714560122935075,33.65,0.08618260980919452,49.0,0.1254962223075938,126.85,0.324881546933026,262.0,0.671020617236522,244.95,0.6273530541682674,33.8,0.08656678191829939
NECT02,0,fresh,3,2026-07-18T13:24:27.649000,2026-07-18T13:24:38.377000,20,18.5,62.0,845.05,783.05,24.0,0.030649383819679462,64.05,0.08179554306876956,101.95,0.13019602835068003,154.55,0.1973692612221442,220.0,0.2809526850137284,319.0,0.40738139326990613,421.5,0.5382798033331205,302.0,0.38567141306429986,58.15,0.07426090287976503
NECT02,0,fresh,4,2026-07-18T13:24:57.116000,2026-07-18T13:25:07.304000,20,21.35,62.9,654.55,591.65,17.95,0.030338882785430576,46.0,0.0777486689765909,72.5,0.1225386630609313,107.55,0.18177976844418153,148.95,0.2517535705231133,236.0,0.39888447561903156,327.0,0.5526916251162005,236.85,0.40032113580664247,44.45,0.07512887686977099
NECT02,1,fresh,1,2026-07-19T20:48:40.106000,2026-07-19T20:48:50.271000,20,18.95,59.15,1067.65,1008.5,34.05,0.033763014377788794,96.0,0.09519087754090233,145.0,0.14377788795240456,219.65,0.21779871095686665,321.2,0.31849281110560235,487.0,0.48289538919186914,649.95,0.6444719881011404,481.6,0.47754090233019336,75.95,0.07530986613782846
NECT02,1,fresh,2,2026-07-19T20:49:00.970000,2026-07-19T20:49:12.204000,20,18.15,55.95,1173.8,1117.85,41.0,0.036677550655275754,116.8,0.10448629064722459,182.75,0.16348347273784497,265.35,0.23737531869213227,363.45,0.3251330679429262,564.65,0.5051214384756453,773.6,0.6920427606566177,584.7,0.5230576553204813,83.8,0.07496533524175873
NECT02,1,fresh,3,2026-07-19T20:49:27.172000,2026-07-19T20:49:37.870000,20,17.75,32.05,704.35,672.3,24.9,0.037037037037037035,50.1,0.07452030343596609,60.3,0.08969210174029452,69.0,0.10263275323516288,99.9,0.14859437751004018,260.0,0.3867321136397442,541.95,0.8061133422579206,539.35,0.8022460211215232,59.0,0.0877584411720958
NECT02,1,fresh,4,2026-07-19T20:49:52.314000,2026-07-19T20:50:08.363000,20,16.7,48.75,1007.4,958.65,32.4,0.03379752777343139,85.9,0.08960517394252335,127.2,0.13268659051791581,175.45,0.18301778542742397,253.2,0.26412142074792677,447.55,0.46685443070985244,653.1,0.6812705366922235,497.15,0.5185938559432535,77.1,0.08042559849788765
NECT02,2,fresh,1,2026-07-20T20:49:28.535000,2026-07-20T20:49:40.299000,20,17.25,33.1,785.0,751.9,24.9,0.03311610586514164,48.7,0.06476925123021679,61.0,0.08112780954914217,72.85,0.09688788402713126,104.0,0.13831626546083256,250.9,0.33368799042425856,525.05,0.6982976459635589,519.6,0.691049341667775,67.0,0.08910759409495944
NECT02,2,fresh,2,2026-07-20T20:20:21.555000,2026-07-20T20:20:32.274000,20,17.25,60.0,1662.55,1602.55,48.85,0.03048266824748058,132.0,0.08236872484477864,211.9,0.13222676359551966,317.9,0.19837134566784187,441.65,0.27559202520982184,670.0,0.4180836791363764,917.65,0.5726186390440235,687.85,0.429222177155159,127.0,0.07924869738853701
NECT02,2,fresh,3,2026-07-20T20:20:45.126000,2026-07-20T20:21:01.195000,20,16.5,59.9,1526.45,1466.55,47.35,0.03228665916607003,126.55,0.08629095496232655,191.25,0.13040810064436945,290.0,0.1977430022842726,432.4,0.29484163513006717,662.7,0.45187685384064646,903.15,0.6158330776311752,685.2,0.4672189833282193,115.0,0.07841532849203914
NECT02,2,fresh,4,2026-07-20T20:21:13.504000,2026-07-20T20:21:23.669000,20,18.95,55.95,989.45,933.5,29.2,0.031280128548473486,74.5,0.07980717728976969,111.6,0.11955008034279592,157.8,0.16904124263524373,228.8,0.24509908944831282,397.65,0.4259775040171398,584.85,0.6265131226566685,443.15,0.47471880021424745,74.65,0.07996786288162828
NECT02,3,fresh,1,2026-07-21T17:36:34.489000,2026-07-21T17:36:45.175000,20,20.85,50.0,582.7,532.7,15.95,0.029941805894499716,29.0,0.05443964708090857,36.1,0.06776797446968275,43.15,0.08100244039797258,61.0,0.11451098179087665,146.0,0.2740754646142294,314.25,0.5899192791439835,329.6,0.6187347475126713,50.0,0.09386146048432513
NECT02,3,fresh,2,2026-07-21T17:36:58.079000,2026-07-21T17:37:09.314000,20,19.25,80.0,1020.7,940.7,25.9,0.0275326884235144,61.0,0.06484532794727331,93.0,0.09886254916551504,133.4,0.14180929095354522,192.0,0.2041033273094504,343.95,0.36563197618794513,525.8,0.5589454661422344,430.1,0.4572127139364303,78.0,0.08291697671946423
NECT02,3,fresh,3,2026-07-21T17:37:25.926000,2026-07-21T17:37:36.108000,20,20.7,75.0,1385.25,1310.25,38.65,0.029498187368822742,96.85,0.07391719137569165,150.75,0.11505437893531768,225.5,0.17210456019843542,338.05,0.25800419767219995,523.75,0.399732875405457,722.2,0.5511925205113528,557.0,0.42510971188704444,106.05,0.08093875214653692
